,corrientes,esteros del ibera,parque nacional ibera,parque nacional mburucuya,parque provincial ibera,reserva provincial ibera,scale
02-15,279954321.37890625,267247542.42578128,152915529.7412683,0.0,132708144.31469053,301037528.99434745,250.0
02-28,36268502.1953125,31412775.489659928,16641831.21436887,0.0,22845953.317356005,33109365.365533087,250.0
03-15,419173514.9557904,279119254.0715686,143975750.238603,0.0,109336222.52135414,248417000.3056832,250.0
03-30,3037502977.3597736,1743496508.5925088,639063037.418888,0.0,254836814.23590675,1234782376.583686,250.0
04-15,6087400406.477956,3397412293.3162518,876100067.7826284,54954.77734375,307429527.4633115,1933748830.66728,250.0
04-30,7259752120.959223,4141847099.24741,902907048.6082717,116799.7917892157,309228646.25934404,2041383538.923775,250.0
05-15,7134189473.784346,4050109079.900489,892365341.2884953,92025.39005821079,304224813.53958297,1979694368.5016396,250.0
05-30,7007355738.402039,4096299367.409956,901136134.3693472,92025.39005821079,293999709.6806371,1996933873.5000463,250.0
06-15,6061516139.33563,3639868968.338678,882242211.2954502,92025.39005821079,294681961.07264084,1940195992.7204506,250.0
nbr,10443316152.561506,5772077819.579679,939760809.7870164,703709.7070791206,349703768.8305949,2377354188.4876065,20.0
